part_no,loop,x,y,point_kind,label,abs_dev_s5,abs_dev_s15,abs_dev_s40,grad_s5,grad_s15,grad_s40,dist_sign_boundary,dist_edge,local_std,rule_strength
64XX2,product_outer,920.0,173.375,interpolated,1,0.33766409754753113,0.12246301770210266,0.40042373538017273,3.854599952697754,0.8506486415863037,1.4141781330108643,18.180099487304688,34.3800048828125,0.28147539496421814,0.3
67XX6,nested_shell_1,409.84211,157.52632,interpolated,1,0.055612944066524506,0.2327095866203308,0.38387057185173035,6.266007423400879,2.82267427444458,0.1540834605693817,12.414999961853027,1.3693000078201294,0.5125862956047058,0.4
67XX6,nested_shell_1,1455.44444,412.22222,interpolated,0,0.999484658241272,0.9800156950950623,0.9432274103164673,0.04090232029557228,0.25199946761131287,0.054302576929330826,246.29798889160156,0.0,0.023958144709467888,0.8
67XX6,nested_shell_1,1448.3,760.4,interpolated,0,0.9964808225631714,0.9551821947097778,0.9194042086601257,0.27786609530448914,0.28541964292526245,0.10537555068731308,248.9734649658203,0.0,0.31091833114624023,0.3
67XX6,nested_shell_1,315.28571,851.71429,interpolated,1,0.525672197341919,0.4771246910095215,0.14567025005817413,1.87269926071167,0.36457136273384094,0.5855711102485657,41.06501770019531,4.234300136566162,0.1238367035984993,0.1
67XX6,nested_shell_2,511.28571,199.19048,interpolated,1,0.3153572678565979,0.3042885363101959,0.3465525805950165,1.0971949100494385,0.939915657043457,0.7969823479652405,34.23250961303711,34.380001068115234,0.08563543111085892,0.1
67XX6,nested_shell_2,1047.4,199.0,interpolated,0,0.3887045681476593,0.2645655870437622,0.1266641616821289,0.9434251189231873,0.6788853406906128,0.16049866378307343,17.800901412963867,12.414999961853027,0.1021566241979599,0.2
67XX6,nested_shell_2,1300.77778,199.44444,interpolated,1,0.03366202488541603,0.02245909348130226,0.19880545139312744,0.7238369584083557,0.20120297372341156,0.16758760809898376,14.324999809265137,17.190000534057617,0.049774494022130966,0.2
67XX6,nested_shell_2,1431.4,583.1,interpolated,0,1.0,0.9942665100097656,0.9535921812057495,0.0,0.0036092784721404314,0.025987548753619194,331.35528564453125,0.0,0.0,0.3
67XX6,nested_shell_2,1128.17647,813.0,interpolated,0,0.11190146207809448,0.09115961939096451,0.08938158303499222,2.5800609588623047,1.8129336833953857,0.8330174684524536,5.477200031280518,14.324999809265137,0.24533939361572266,0.3
67XX6,nested_shell_2,1064.14286,814.28571,interpolated,0,0.31252217292785645,0.3299330472946167,0.011799411848187447,3.3170130252838135,1.5049688816070557,0.714884877204895,32.161006927490234,0.0,0.3484687805175781,0.3
67XX6,nested_shell_2,978.0,819.0,interpolated,0,0.3385973274707794,0.2313263863325119,0.05855986103415489,8.235871315002441,2.6062848567962646,0.25129181146621704,12.414999961853027,0.0,0.6577501893043518,0.4
67XX6,nested_shell_2,357.75,802.0,interpolated,1,0.05658762529492378,0.02567390911281109,0.11909670382738113,1.5496028661727905,1.3371572494506836,1.317657232284546,1.3693000078201294,3.819999933242798,0.15456783771514893,0.1
67XX6,nested_shell_3,494.0,231.0,interpolated,0,0.4609155058860779,0.5690145492553711,0.6014742851257324,0.8484817743301392,1.508285403251648,0.9318655133247375,66.68142700195312,8.595000267028809,0.25266119837760925,0.5
67XX6,nested_shell_3,1057.88889,232.55556,interpolated,0,0.4743316173553467,0.006395831238478422,0.2822106182575226,5.604135036468506,3.9169392585754395,1.2282658815383911,0.0,6.684999942779541,0.7297946810722351,0.4
67XX6,nested_shell_3,1305.57143,231.42857,interpolated,1,0.0082772895693779,0.16526556015014648,0.345379114151001,4.358569145202637,2.4972567558288574,0.9427850246429443,12.414999961853027,2.738600015640259,0.3984893560409546,0.1
67XX6,nested_shell_3,1403.0,435.33333,interpolated,0,0.9999890327453613,0.9814547300338745,0.9307808876037598,0.001148212468251586,0.09276783466339111,0.09444954991340637,246.719482421875,1.909999966621399,0.0,0.1
